city,population
Shamokin township,2383
Shirley,2380
Ridgway township,2377
Donegal township,2376
Midland,2374
Lower Yoder,2370
Jefferson township,2368
East Taylor,2366
Clearfield township,2363
Wayne township,2351
Gilpin,2346
Brothersvalley,2342
Roaring Brook,2341
Fell,2339
Mifflin township,2336
Hamiltonban,2333
Bentleyville,2331
Johnsonburg,2329
Cambridge Springs,2320
Snyder township,2319
Rockefeller,2319
Roaring Spring,2315
Coudersport,2314
Tyrone township,2313
Lowhill,2312
Spring township,2311
Parkside,2303
Geistown,2303
Franklin township,2296
Hickory township,2287
East Bethlehem,2286
New Stanton,2285
North Annville,2280
Texas,2276
Croyle,2274
Greenfield township,2273
Cornplanter,2271
Dublin borough,2269
Pike township,2268
Liberty borough,2266
West Nantmeal,2259
Rye,2259
Mount Union,2257
Newtown borough,2256
Perry township,2254
Eden,2253
Summerhill township,2251
Tullytown,2250
Gregg township,2250
North York,2247
Jefferson township,2247
Taylor township,2247
Wrightsville,2247
Penn township,2244
Covington township,2239
Brockway,2238
Hemlock,2234
Hunlock,2232
Venango township,2225
Morgan,2224
Greene township,2223
Upper Frankford,2223
Elk Lick,2218
Watsontown,2214
Independence township,2213
Franklin township,2211
Pleasant,2200
Haycock,2200
Lurgan,2196
Norwegian,2190
Donegal township,2188
Stewartstown,2176
Telford borough,2175
Southwest Greensburg,2173
Muddy Creek,2170
Porter township,2155
Scott township,2146
Robesonia,2139
Richmond township,2137
Conway,2135
Upper Burrell,2130
Jermyn,2130
East Wheatfield,2129
West Wheatfield,2124
Fawn township,2123
Glen Rock,2122
Valley township,2117
Hughesville,2116
Washington township,2114
South Greensburg,2109
Brownsville borough,2102
Summit township,2101
New Wilmington,2097
North Centre,2093
Leechburg,2091
Dorrance,2088
South Woodbury,2086
Stonycreek township,2086
Walnutport,2086
Clifford,2085
Exeter township,2083
Coolspring,2081
Dunkard,2077
Bell township,2073
Huntington township,2071
Delaware township,2062
Pine Grove borough,2061
Clinton township,2060
Plumcreek,2059
Port Allegany,2059
Middlecreek township,2055
Oliver township,2054
Lafayette,2053
Perry township,2053
Loyalhanna,2053
Union township,2049
Conemaugh township,2048
Oliver township,2039
Topton,2038
Canton township,2031
Fairfield township,2030
Napier,2027
New Eagle,2024
Cleona,2020
Sandycreek,2020
Bald Eagle,2018
Moscow,2017
Meyersdale,2016
Barr,2013
Riverside,2013
Monroe township,2012
Mount Holly Springs,2011
Lake township,2011
Woodward township,2009
Connellsville township,2000
Ayr,1999
West Cornwall,1998
Southmont,1996
East McKeesport,1992
Menno,1990
Kittanning township,1988
Glade,1988
Miles,1984
Bell township,1972
Burnham,1965
Milford township,1964
Eldred township,1961
Trainer,1960
Berlin borough,1960
Buffalo township,1957
Limestone township,1951
Dover borough,1949
Rome township,1948
Leesport,1946
Walker township,1946
Adamstown borough,1945
Jefferson township,1936
Marion township,1933
Mercer borough,1933
Tyrone township,1929
Lewis township,1926
Fairview township,1918
Baldwin township,1917
South Centre,1911
Black Creek,1909
Henderson township,1906
Cherry Ridge,1904
New Oxford,1901
Honey Brook borough,1900
Jay,1900
Brady township,1895
Conemaugh township,1895
Sparta,1893
St. Lawrence,1890
Greenwood township,1885
Ridgebury,1883
Summit township,1879
Shippen township,1878
East Brunswick,1877
Porter township,1877
Lehigh township,1872
Blacklick,1870
Jefferson township,1868
Hopewell township,1868
Susquehanna township,1867
Upper Tulpehocken,1866
Jackson township,1866
Warriors Mark,1864
Cook,1857
Lykens borough,1857
Washington township,1856
Emporium,1856
East Pittsburgh,1855
East Nantmeal,1854
Ben Avon,1850
South Connellsville,1850
Pine township,1849
Waverly,1848
Washington township,1839
Kidder,1837
Big Beaver,1837
Springfield township,1833
North Belle Vernon,1832
Jackson township,1832
Martinsburg,1830
Bloomfield township,1829
South Canaan,1828
Limestone township,1828
East Washington,1826
Jacobus,1822
Tyrone township,1822
Rankin,1820
Perry township,1819
Conyngham borough,1817
South Shenango,1816
Fairchance,1815
South Mahoning,1814
Liberty township,1813
Port Carbon,1808
West Homestead,1803
Quemahoning,1800
East Providence,1800
Lower Frankford,1799
Elkland borough,1791
Sheffield,1791
Industry,1790
Turbot,1789
Bonneauville,1788
Beaver township,1786
Upper Fairfield,1785
Greenfield township,1782
Greene township,1781
New Milford township,1780
Liberty township,1779
Donegal township,1774
Lower Mifflin,1774
Aleppo township,1773
Bellwood,1773
Washington township,1771
Zerbe,1771
Darlington township,1770
Metal,1767
Snake Spring,1765
Cass township,1763
Mayfield,1763
Elk Creek,1763
Branch,1760
Forest City,1751
Everett,1746
Washington township,1744
Limestone township,1743
Farmington township,1739
Franklin township,1738
Tunkhannock borough,1737
Beccaria,1735
Heidelberg township,1733
Rayburn,1733
Benton township,1726
Hartley,1725
Auburn township,1723
Plymouth township,1717
Homer City,1716
Wilmerding,1715
Canton borough,1713
South Coatesville,1713
Elk township,1713
Upper Tyrone,1700
Freeport borough,1693
Henry Clay,1692
Randolph,1689
Evans City,1689
Tremont borough,1684
Robinson township,1684
Patton borough,1683
Great Bend township,1683
Young township,1682
East Union,1681
Falls township,1680
Young township,1679
Youngsville,1679
Hanover township,1677
Brokenstraw,1677
Albany township,1674
Braddock,1670
Brush Valley,1668
West Franklin,1666
Braddock Hills,1666
Oil Creek township,1666
Nicholson township,1665
Monroe township,1655
East Lackawannock,1651
Shiremanstown,1649
West St. Clair,1646
Jonestown,1645
Washington township,1644
LeBoeuf,1639
Shamokin Dam,1639
McDonald borough,1637
Spring township,1632
Paxtang,1628
Edgeworth,1627
Londonderry township,1626
Langhorne,1624
Perryopolis,1624
Boggs township,1622
Upper Bern,1616
Todd township,1616
Paint township,1614
Union township,1612
Cheswick,1612
Haines,1611
Cressona,1610
Jackson township,1606
Lower Mahanoy,1606
Lawrence township,1601
Delaware township,1599
Wetmore,1597
Pike township,1596
Chapman township,1583
Snow Shoe township,1582
Licking Creek,1581
Lenox,1580
Lykens township,1580
Clearfield township,1575
Mont Alto,1573
Troy township,1573
Sugar Grove township,1569
Apollo,1568
East Berlin,1567
Wysox,1567
Leet,1565
Columbus,1563
Milford township,1563
Liberty township,1561
Madison township,1561
Roseto,1559
Bethel township,1555
Dravosburg,1554
Fishing Creek,1550
Montgomery borough,1543
Union township,1543
Juniata township,1540
Jones,1535
North Bethlehem,1533
Catawissa borough,1527
West Pike Run,1521
Kimmel,1518
Union township,1517
Porter township,1514
Clarks Green,1513
Blossburg,1509
East Fallowfield township,1509
Ferndale,1508
Mount Pleasant township,1508
Wayne township,1506
Richland borough,1502
Clifton,1500
Silver Lake,1499
Independence township,1497
Albion,1496
Mercersburg,1496
West Conshohocken,1495
Sterling,1494
Newport borough,1494
Langhorne Manor,1491
Gallitzin borough,1490
Porter township,1490
Nescopeck borough,1488
Cresson borough,1486
Cherry township,1484
Franklin township,1484
Ligonier borough,1481
Springville,1479
Lycoming,1479
Springdale township,1478
Kline,1476
Monroe township,1475
Otto,1472
Bell Acres,1465
Smithfield township,1464
Freedom borough,1464
Lewis township,1462
Milford township,1461
Cromwell,1461
Avis,1460
Mill Hall,1460
Anthony township,1459
Locust,1458
Duncannon,1455
Laflin,1455
Mount Pleasant township,1453
Sullivan,1451
Broad Top,1449
Waterford borough,1446
Loganville,1442
Cumberland Valley,1441
Wayne township,1441
Monongahela township,1438
East Deer,1434
Ransom,1433
Glenburn,1433
Overfield,1432
Tower City,1429
Mount Wolf,1428
Oakdale,1428
Canoe,1428
Eaton,1427
Versailles,1426
Mars,1425
Reade,1423
Cambridge,1422
Lincoln township,1421
Liberty township,1421
Woodbury township,1420
Cussewago,1418
North Union township,1417
Montgomery township,1417
Northmoreland,1414
East Carroll,1409
Wilmington township,1408
Tatamy,1407
Burgettstown,1403
Jefferson township,1403
Wayne township,1403
Greenwood township,1402
Blawnox,1402
Monroe township,1401
Elk township,1400
Dyberry,1398
Frenchcreek,1392
Elverson,1391
Spring township,1391
Liberty township,1389
Smethport,1386
Saxonburg,1386
Newville,1385
Liberty township,1381
South Newton,1380
District,1375
Concord township,1374
Worth township,1366
